id,name,description,category,image_url,location
pixel-pilot,Pixel Pilot,Classic top-down shooter with neon enemies and powerups,Arcade,https://picsum.photos/seed/pixel-pilot/800/600,Web browser
neon-runners,Neon Runners,Fast-paced endless runner through glowing city streets,Platformer,https://picsum.photos/seed/neon-runners/800/600,Web browser
space-quest,Space Quest,Space adventure with asteroid dodges and star upgrades,Shooter,https://picsum.photos/seed/space-quest/800/600,Web browser
magic-mazer,Magic Mazer,Mystery maze puzzle game with hidden teleport doors,Puzzle,https://picsum.photos/seed/magic-mazer/800/600,Web browser
robot-rescue,Robot Rescue,Save the robots by solving timing and platform challenges,Action,https://picsum.photos/seed/robot-rescue/800/600,Web browser
retro-racer,Retro Racer,Vintage-style racing with pixel cars and neon track turns,Racing,https://picsum.photos/seed/retro-racer/800/600,Web browser
sound-synth,Sound Synth,A music game where each level builds a chiptune beat,Music,https://picsum.photos/seed/sound-synth/800/600,Web browser
alien-arcade,Alien Arcade,Beat wave after wave of alien invaders in this arcade classic,Arcade,https://picsum.photos/seed/alien-arcade/800/600,Web browser
forest-fable,Forest Fable,An adventure game through enchanted woods and secret paths,Adventure,https://picsum.photos/seed/forest-fable/800/600,Web browser
tower-tactix,Tower Tactix,Strategy tower defense with retro-style pixel towers,Strategy,https://picsum.photos/seed/tower-tactix/800/600,Web browser
